Tweet,Stock Name,Company Name,annotator 1,annotator 2,agreement
Remember $TSLA 800 $SPY 400 $QQQ 300 BIG Levels all coming up together to manage your positions.,TSLA,"Tesla, Inc.",bullish,neutral,False
"10yr TY -3.7 bp to 1.767% now, but $TSLA still may get smacked around tomorrow with risk off all high P/E stocks after NFLX got crushed tonight for weak 1Q guide.$AMZN similar set up to $NFLX -  Covid hangover, weak 1Q growth, high relative P/E. Asia futures SPX -0.7%, NDX -1.3%.",AMZN,"Amazon.com, Inc.",bullish,neutral,False
@alexanderchee And I had to watch a video of someone filling up their car with gas and having to hold on to the steering wheel while driving too. No thanks. $TSLA,TSLA,"Tesla, Inc.",bullish,neutral,False
My @tesla Fwaud handled the infamous Bear Creek Road today in the Santa Cruz Mountains like a champ. #FSDBeta is getting better at incredible speeds with each update. @elonmusk https://t.co/5ad35xfCcZ,TSLA,"Tesla, Inc.",bullish,bearish,False
I'm back for a few days and then headed back out on vacation to the Caribbean again for some sun and beach time. Let's get a nice rally today in shares of $TSLA before my vacation. https://t.co/7PxKbEWFer,TSLA,"Tesla, Inc.",neutral,bullish,False
"In 2001 I was stupid.   Yes.  I was.  I said shit like Amzn down 300. Has to pop. Just need a 10 buck pop.   Down another 100 I’m like ok loading more for. 5 pt pop.    It never came.    

This made me who I am today.  Lessons. Never be stubborn know what’s possible",MSFT,Microsoft Corporation,bullish,neutral,False
"Clear evidence that Giga Berlin production had stepped up quite a bit. This is by far the most Performance Ys we see over the weekend- with over 120 in this video. Past videos showed a couple dozen at most. 

Images from @wolfpackberlin latest video.

$TSLA https://t.co/m2janmNm6F",TSLA,"Tesla, Inc.",bullish,neutral,False
"$TSLA - Above 1077 - Trade Idea 💡 -  Dec 31 1150C

Closed at 1067.00

Possible to see a few days of consolidation if TSLA can't get through 1100 by Tuesday

Calls can work as a day trade above 1077
-
$AAPL $AMD $AMZN $BA $FB $LCID $MSFT $NFLX $NIO $NVDA $MRNA $SPX $SPY $SQ $UPST https://t.co/CCKJhi2del",TSLA,"Tesla, Inc.",bullish,neutral,False
"Year on Year increase in Q4 revenue 

Meta $FB: +19%
Amazon $AMZN: +9%
Apple $AAPL: +11%
Microsoft $MSFT: +20%
Google $GOOGL: +32% https://t.co/CMmfTisumk",META,"Meta Platforms, Inc.",neutral,bullish,False
"All of $TSLA decline from its peak is due to P/E compression as L/T int rates rose. For $TSLA If we look at 1/4/2022 peak of $1,200 on FY’22 EPS of $9.06, 2022 P/E was 132x. As of today, at $1,012, on FY’EPS of $9.48, 2022 P/E is 107x, so P/E compression of -20%. https://t.co/6Uduzq1t9K",TSLA,"Tesla, Inc.",neutral,bearish,False
So great to catch-up with @DMC_Ryan in person for lunch today after over 2 years! Always great to chat all things @Xbox &amp; @Tesla https://t.co/vmowi8G1de,TSLA,"Tesla, Inc.",bullish,neutral,False
"$AMZN

Clear Bear flag?✅ https://t.co/lorhtKV0ex",AMZN,"Amazon.com, Inc.",neutral,bearish,False
The market reaction to MSFT earnings report is fascinating. #stocks,MSFT,Microsoft Corporation,neutral,bearish,False
"As I always say, just be careful on these massive 8-day 32% run ups. While $tsla could run more, we all know how fast it can also fall. Just be smart. Always sound strategy to trim a few and buy dips. I always buy dips. Has worked for years. In a bull and bear market.",TSLA,"Tesla, Inc.",bullish,bearish,False
"$AMD $AMZN etc. still haven't scheduled, but here's a look at the coming #earningsseason 

https://t.co/lObOE0dgsr 

$TSLA $AAPL $GS $BAC $MSFT $SCHW $NFLX $MS $FB $PNC $ASML $UNH $BK $AAL $F $PG $TFC $CLF $INTC $AA $BA $T $SBNY $MBWM $FMBI $ONB $FAST $UPST $FBK $GNTY $PFE $GE https://t.co/Eu1x2pPflD",INTC,Intel Corporation,bullish,neutral,False
"Good morning TRADERS 💥👍

Great end of day move sparks this morning's #stickynote 

$AAPL might have found a footing and we can break higher 📈

$TSLA Shanghai is now coming back up, so watching $670 LONG ✅👀

$AMC break of $12.50 on $GME news, also #monkeypox plays $SIGA $GOVX https://t.co/TzQMGIQTWe",AAPL,Apple Inc.,bullish,neutral,False
"Well, at the beginning of the tournament I said I wanted to see an NA resurgence and @TSM well and truly delivered

Time to pack up the jokes, they’re back! 

Congratulations to the new Rainbow Six Siege World Champions!!",TSM,Taiwan Semiconductor Manufacturing Company Limited,bullish,neutral,False
"BATTLE OF BRAINS VS AIM 🧠

@MacieJay puts his years of R6 experience to the test against @ItzJaney, @Nokokopuffs, and @daltoosh in our 1v3 challenge.

📺 https://t.co/8SJvl3UKCT https://t.co/uEOYJSLy9o",TSM,Taiwan Semiconductor Manufacturing Company Limited,neutral,bullish,False
