Tweet,Stock Name,Company Name,annotator 1,annotator 2,final label
"Okay so $amzn owns 22% of $rivn. And Bezos owns 10% of Amazon. So by extension, Bezos owns 2% of Rivian, which is worth about $2 billion today.

So, not only does Jeff own more $rivn than the Founder but he's a billionaire on his $rivn stake alone.",PG,Procter & Gamble Company,neutral,neutral,neutral
"BREAKING:
$TSLA Model Y was the BEST SELLING premium SUV In China 🇨🇳in January !!!
🤯🤯🤯",TSLA,"Tesla, Inc.",bullish,bullish,bullish
Remember $TSLA 800 $SPY 400 $QQQ 300 BIG Levels all coming up together to manage your positions.,TSLA,"Tesla, Inc.",bullish,neutral,bullish
"Wonderful discussion  &amp; analysis for 10/20 - $ES $QQQ $BABA $AAPL $AMD $AMZN $BA $BIDU $MRNA $MSFT $NFLX $NIO $FB $ROKU $SHOP $SNAP $SNOW $CAT $BYND $TSLA $DIS

📺👀- https://t.co/zL3ORczavz
Please like and retweet if you find it useful. https://t.co/9oI4CrR5C8",NIO,NIO Inc.,neutral,neutral,neutral
"10yr TY -3.7 bp to 1.767% now, but $TSLA still may get smacked around tomorrow with risk off all high P/E stocks after NFLX got crushed tonight for weak 1Q guide.$AMZN similar set up to $NFLX -  Covid hangover, weak 1Q growth, high relative P/E. Asia futures SPX -0.7%, NDX -1.3%.",AMZN,"Amazon.com, Inc.",bullish,neutral,bullish
@alexanderchee And I had to watch a video of someone filling up their car with gas and having to hold on to the steering wheel while driving too. No thanks. $TSLA,TSLA,"Tesla, Inc.",bullish,neutral,bullish
My @tesla Fwaud handled the infamous Bear Creek Road today in the Santa Cruz Mountains like a champ. #FSDBeta is getting better at incredible speeds with each update. @elonmusk https://t.co/5ad35xfCcZ,TSLA,"Tesla, Inc.",bullish,bearish,bullish
I'm back for a few days and then headed back out on vacation to the Caribbean again for some sun and beach time. Let's get a nice rally today in shares of $TSLA before my vacation. https://t.co/7PxKbEWFer,TSLA,"Tesla, Inc.",neutral,bullish,neutral
"This is bullish not only because it’s an upgrade, but because the market loves Adam Jonas’ $TSLA target increases. On Nov 18th when he upgraded from $360-&gt;$540 $TSLA went up 6.7%. 

Of course this was in midst of S&amp;P inclusion announcement week so take it with a grain of salt. https://t.co/DUcxI7842a",TSLA,"Tesla, Inc.",bullish,bullish,bullish
"So much to cover this morning, look at #Bitcoin #Ethereum #LUNA #SOL #AVAX $FTX $AMZN City Coins, BlockFi $100M Fine, Charts, and so much more live at 11.30am PT https://t.co/Qfl14IYpWY https://t.co/m5qxruhR9i",MSFT,Microsoft Corporation,neutral,neutral,neutral
